Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
10,Sat,2024-05-04,19:30,Phx Rising,1–1,Sac Republic,"5,595",Wild Horse Pass Stadium,Adam Kilpatrick,Match Report,
,,,,,,,,,,,
12,Fri,2024-05-10,19:00,Loudoun Utd,0–2,El Paso,"1,836",Segra Field,Velimir Stefanovic,Match Report,
12,Sat,2024-05-11,17:00,Detroit City,1–1,Phx Rising,"6,538",Keyworth Stadium,Trevor Wiseman,Match Report,
12,Sat,2024-05-11,19:00,Hartford,0–2,CS Switchbacks,"5,500",Trinity Health Stadium,Lorenzo Hernandez,Match Report,
12,Sat,2024-05-11,19:30,Rhode Island FC,2–2,Sac Republic,"3,974",Beirne Stadium,Alejo Calume,Match Report,
12,Sat,2024-05-11,19:30,TB Rowdies,0–1,B'ham Legion,"5,433",Al Lang Stadium,Elton Garcia,Match Report,
12,Sat,2024-05-11,19:30,Louisville City,3–0,Orange County,"10,239",Lynn Family Stadium,Eric Tattersall,Match Report,
12,Sun,2024-05-12,19:00,Miami FC,1–3,Indy Eleven,"1,004",Riccardo Silva Stadium,Muhammad Hassan,Match Report,
12,Sat,2024-05-11,19:00,New Mexico Utd,2–1,Roots,"11,568",Isotopes Park,Brandon Stevis,Match Report,
12,Sat,2024-05-11,19:00,Monterey Bay,2–2,Memphis,"3,580",Cardinale Stadium,Kyle Johnston,Match Report,
12,Sat,2024-05-11,19:30,FC Tulsa,2–2,Pittsburgh,"4,486",ONEOK Field,Elijio Arreguin,Match Report,
12,Sat,2024-05-11,19:30,San Antonio,1–1,LV Lights FC,"7,218",Toyota Field,Elvis Osmanovic,Match Report,
12,Tue,2024-05-14,19:00,North Carolina,2–0,Loudoun Utd,"1,359",Sahlen's Stadium at WakeMed Soccer Park,Jonathan Bilinski,Match Report,
12,Wed,2024-05-15,19:00,B'ham Legion,0–1,Charleston,"3,937",Protective Stadium,Jeremy Scheer,Match Report,
,,,,,,,,,,,
13,Sat,2024-05-18,19:00,Loudoun Utd,3–0,Monterey Bay,"1,525",Segra Field,Thomas Snyder,Match Report,
13,Fri,2024-05-17,19:00,CS Switchbacks,3–1,Rhode Island FC,"8,023",Weidner Field,Greg Dopka,Match Report,
13,Sat,2024-05-18,19:00,Indy Eleven,4–1,Hartford,"10,021",Michael A. Carroll Stadium,Elton Garcia,Match Report,
13,Sat,2024-05-18,19:00,Pittsburgh,1–1,North Carolina,"5,113",Highmark Stadium,Natalie Simon,Match Report,
13,Sat,2024-05-18,19:30,TB Rowdies,5–0,FC Tulsa,"5,277",Al Lang Stadium,Eric Tattersall,Match Report,
13,Fri,2024-05-17,20:00,El Paso,1–2,Memphis,"6,004",Southwest University Park,Abdou Ndiaye,Match Report,
13,Sat,2024-05-18,19:00,Roots,2–1,Orange County,"3,651",Pioneer Stadium,Servando Berna Rico,Match Report,
13,Sat,2024-05-18,19:30,LV Lights FC,2–2,Louisville City,"1,048",Cashman Field,Joshua Encarnacion,Match Report,
13,Sat,2024-05-18,19:30,Phx Rising,2–0,Miami FC,"8,081",Wild Horse Pass Stadium,Mathew Corrigan,Match Report,
,,,,,,,,,,,
14,Fri,2024-05-24,19:30,Hartford,2–1,Monterey Bay,"4,083",Trinity Health Stadium,Ricardo Montero,Match Report,
14,Fri,2024-05-24,19:30,Charleston,1–2,El Paso,"3,257",Patriots Point Soccer Complex,Alejo Calume,Match Report,
14,Sat,2024-05-25,16:00,Rhode Island FC,0–0,Louisville City,"4,914",Beirne Stadium,Jeremy Scheer,Match Report,
14,Sat,2024-05-25,19:00,Miami FC,0–4,North Carolina,"1,039",Riccardo Silva Stadium,Trevor Wiseman,Match Report,
14,Sat,2024-05-25,19:00,Indy Eleven,2–1,Phx Rising,"10,066",Michael A. Carroll Stadium,Calin Radosav,Match Report,
14,Sat,2024-05-25,19:30,TB Rowdies,1–0,LV Lights FC,"5,753",Al Lang Stadium,Sergii Demianchuk,Match Report,
14,Fri,2024-05-24,19:30,FC Tulsa,0–1,Roots,"3,642",ONEOK Field,Muhammad Hassan,Match Report,
14,Sat,2024-05-25,19:00,New Mexico Utd,2–1,San Antonio,"8,539",Isotopes Park,Matthew Thompson,Match Report,
14,Sat,2024-05-25,19:00,Orange County,0–2,Loudoun Utd,"4,342",Orange Country Great Park Championship S...,Natalie Simon,Match Report,
14,Sat,2024-05-25,19:00,Sac Republic,0–0,B'ham Legion,"10,188",Heart Health Park,Brandon Stevis,Match Report,
14,Sat,2024-05-25,19:30,Memphis,2–0,Pittsburgh,"3,020",AutoZone Park,Velimir Stefanovic,Match Report,
14,Wed,2024-05-29,19:30,Louisville City,5–1,Detroit City,"10,385",Lynn Family Stadium,Mathew Corrigan,Match Report,
14,Wed,2024-05-29,19:00,Monterey Bay,0–0,Charleston,"3,423",Cardinale Stadium,Elvis Osmanovic,Match Report,
,,,,,,,,,,,
15,Sat,2024-06-01,19:00,Miami FC,1–2,Louisville City,"1,098",Riccardo Silva Stadium,Alejo Calume,Match Report,
15,Sat,2024-06-01,19:00,Loudoun Utd,3–0,FC Tulsa,"3,505",Segra Field,John Griggs,Match Report,
15,Sat,2024-06-01,19:00,Pittsburgh,1–2,Indy Eleven,"5,002",Highmark Stadium,Lorenzo Hernandez,Match Report,
15,Sat,2024-06-01,19:00,Hartford,1–1,Rhode Island FC,"5,500",Trinity Health Stadium,Luis Arroyo,Match Report,
15,Sun,2024-06-02,16:00,Monterey Bay,1–0,New Mexico Utd,"3,419",Cardinale Stadium,Servando Berna Rico,Match Report,
15,Sat,2024-06-01,19:00,Sac Republic,0–1,TB Rowdies,"9,547",Heart Health Park,Gerald Flores,Match Report,
15,Sat,2024-06-01,19:00,Orange County,3–2,Detroit City,"3,537",Orange Country Great Park Championship S...,Nabil Bensalah,Match Report,
15,Sat,2024-06-01,19:00,CS Switchbacks,1–0,Roots,"7,366",Weidner Field,Joe Surgan,Match Report,
15,Sat,2024-06-01,19:30,LV Lights FC,0–0,Phx Rising,"1,720",Cashman Field,Muhammad Hassan,Match Report,
15,Sat,2024-06-01,20:00,El Paso,1–3,B'ham Legion,"5,707",Southwest University Park,John Matto,Match Report,
15,Sat,2024-06-01,20:00,San Antonio,1–0,Memphis,"6,094",Toyota Field,Ricardo Montero,Match Report,
15,Wed,2024-06-05,20:00,San Antonio,0–1,El Paso,"5,805",Toyota Field,Ricardo Fierro,Match Report,
,,,,,,,,,,,
16,Sat,2024-06-08,19:30,Charleston,0–0,Pittsburgh,"3,626",Patriots Point Soccer Complex,Thomas Snyder,Match Report,
16,Sat,2024-06-08,19:30,Rhode Island FC,0–2,Detroit City,"4,108",Beirne Stadium,Elton Garcia,Match Report,
16,Sun,2024-06-09,18:00,B'ham Legion,0–1,Indy Eleven,"2,147",Protective Stadium,Natalie Simon,Match Report,
16,Sat,2024-06-08,19:00,Roots,1–0,TB Rowdies,"6,408",Pioneer Stadium,Elijio Arreguin,Match Report,
16,Sat,2024-06-08,19:00,New Mexico Utd,1–0,Hartford,"10,884",Isotopes Park,Calin Radosav,Match Report,
